P,Z,N
0.7411515135276171,0.24080939736056864,0.12524549217286615
0.5725253626919325,0.3229161527005337,0.16821086671658544
0.3982984925089375,0.48833922611602876,0.21889940211797926
0.26199205308303647,0.5559527644809729,0.2310347321099867
0.1435101184854176,0.6464557510963909,0.3007179925649563
0.10131430581070641,0.6930450066339795,0.31763015387746735
0.05164338714961768,0.7016820512246893,0.31293935032898734
0.02390729491324821,0.7278209787628263,0.3208350880440832
0.042121883690731755,0.7448963606138282,0.2969475790442354
0.010317534931532084,0.7270673094022075,0.2960035880020559
0.0264835058820186,0.7388996114588338,0.3163622536409031
0.007691715685400039,0.7410789800194441,0.3053082615915714
0.01585377646225506,0.7225355415663268,0.32401587031616547
0.002289169387153058,0.7310300362177601,0.30599023993935
0.0380174771451922,0.7249958813416016,0.3056410815824162
0.0400576923007991,0.7387491521120827,0.31604444086601935
0.009583841612289134,0.7560867603529366,0.30413732668749965
0.02583674249189263,0.7185265534269578,0.2973259948229627
0.03643275672306927,0.7383495054231163,0.31165342419010333
0.035968716554568084,0.7359264004198404,0.33878763324544864
0.037067762844643797,0.7114188834026218,0.33001191512568934
